--------- beginning of main
09-22 14:29:35.319 26942 26978 E OpenGLRenderer: EglManager::fenceWait: error dup'ing fence fd: 24
09-22 14:29:35.321 26942 26942 E Surface : dequeueBuffer: error duping fence: 24
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #61 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #62 pc 00230a58  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14012) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #63 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #64 pc 0018f268  /system/framework/framework.jar (android.view.Choreographer.doCallbacks)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #65 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #66 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #67 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #68 pc 00230a58  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14012) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #69 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #70 pc 0018f3ec  /system/framework/framework.jar (android.view.Choreographer.doFrame)
